palette_name,paint_id,color_name,row,position,notes
default,cqwej,Primary White (gouache),top,1,
default,g7gsr,Cadmium Yellow,top,2,
default,qtpnq,Permanent Rose,top,3,
default,gmh50,Cadmium Red,top,4,
default,v3x03,Alizarin Crimson,top,5,
default,j1hyo,Ultramarine (Green Shade),top,6,
default,9vm7m,Cerulean,top,7,
default,z965v,Winsor Violet (Dioxazine),bottom,1,
default,7bq0o,Cobalt Sea Blue,bottom,2,
default,99qk8,Permanent Sap Green,bottom,3,
default,7gtz9,Yellow Ochre,bottom,4,
default,qo4wy,Burnt Sienna,bottom,5,
default,s8cw1,Cyprus Burnt Umber,bottom,6,
default,gwr6d,Indigo,bottom,7,
cfm-floral,f6rks,CfM Poppy,row1,1,
cfm-floral,kf1xf,French Vermilion,row1,2,
cfm-floral,xrpw0,CfM Coral,row1,3,
cfm-floral,9ewvv,CfM Fuchsia,row1,4,
cfm-floral,nrb21,Lavender Blue Lake,row2,1,
cfm-floral,21edv,CfM Lupine,row2,2,
cfm-floral,xzpy1,Ultramarine Pink,row2,3,
cfm-floral,cfm_x03,Hot Pink,row2,4,
cfm-floral,cfm_x02,Oxalis,row3,1,
cfm-floral,f5xtw,CfM Meadow,row3,2,
cfm-floral,cfm_x01,Tide Pool,row3,3,
cfm-floral,99ovo,CfM Cypress Green,row3,4,
garden,cqwej,Primary White (gouache),row1,1,
garden,g7gsr,Cadmium Yellow,row1,2,
garden,96mcs,Quinacridone Magenta,row1,3,
garden,gmh50,Cadmium Red,row1,4,
garden,dn9rg,Pyrrole Red,row1,5,
garden,z965v,Winsor Violet (Dioxazine),row1,6,far edge
garden,gdony,Cobalt Cerulean Blue,row2,1,
garden,p09z8,Phthalo Green (Blue Shade),row2,2,
garden,og04b,Bamboo Green,row2,3,
garden,5kr90,Gold Ochre,row2,4,
garden,qo4wy,Burnt Sienna,row2,5,
garden,1md29,Burnt Umber,row2,6,far edge — temp sub for Indigo
urban-sketch,yz7p5,Indian Yellow,row1,1,
urban-sketch,7gtz9,Yellow Ochre,row1,2,
urban-sketch,pokkd,Burnt Sienna,row1,3,
urban-sketch,z965v,Winsor Violet (Dioxazine),row1,4,far edge — staining
urban-sketch,4gdrk,Opera,row3,1,fugitive — right context for it
urban-sketch,wh7de,Cherry Blossom Pink,row3,2,
urban-sketch,vfqon,Davy's Grey,row3,3,
urban-sketch,sr0h2,Prussian Blue,row3,4,far edge — staining
